,code,detailed_work_activity
5353,25-1032.00,Write grant proposals.
5354,25-1032.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
5355,25-1032.00,Stay informed about current developments in field of specialization.
5356,25-1032.00,Supervise student research or internship work.
5357,25-1032.00,Teach physical science or mathematics courses at the college level.
5358,25-1032.00,Guide class discussions.
5359,25-1032.00,Supervise laboratory work.
5360,25-1032.00,Administer tests to assess educational needs or progress.
5361,25-1032.00,Prepare tests.
5362,25-1032.00,Develop instructional objectives.
5363,25-1032.00,Evaluate effectiveness of educational programs.
5364,25-1032.00,Maintain student records.
5365,25-1032.00,Advise students on academic or career matters.
5366,25-1032.00,Order instructional or library materials or equipment.
5367,25-1032.00,Perform student enrollment or registration activities.
5368,25-1032.00,Promote educational institutions or programs.
5369,25-1032.00,Select educational materials or equipment.
5370,25-1032.00,Direct department activities.
5371,25-1032.00,Serve on institutional or departmental committees.
5372,25-1032.00,Edit documents.
5373,25-1032.00,Edit written materials.
5374,25-1032.00,"Proofread documents, records, or other files to ensure accuracy."
5375,25-1032.00,Plan community programs or activities for the general public.
5376,25-1032.00,"Advise educators on curricula, instructional methods, or policies."
5377,25-1032.00,Compile specialized bibliographies or lists of materials.
5378,25-1123.00,Teach humanities courses at the college level.
5379,25-1123.00,Teach classes in area of specialization.
5380,25-1123.00,Evaluate student work.
5381,25-1123.00,Develop instructional materials.
5382,25-1123.00,Guide class discussions.
5383,25-1123.00,Maintain student records.
5384,25-1123.00,Develop instructional objectives.
5385,25-1123.00,Evaluate effectiveness of educational programs.
5386,25-1123.00,Tutor students who need extra assistance.
5387,25-1123.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
5388,25-1123.00,Stay informed about current developments in field of specialization.
5389,25-1123.00,Administer tests to assess educational needs or progress.
5390,25-1123.00,Prepare tests.
5391,25-1123.00,Advise students on academic or career matters.
5392,25-1123.00,Research topics in area of expertise.
5393,25-1123.00,"Write articles, books or other original materials in area of expertise."
5394,25-1123.00,Teach online courses.
5395,25-1123.00,Prepare activity or work schedules.
5396,25-1123.00,Prepare staff schedules or work assignments.
5397,25-1123.00,Schedule instructional activities.
5398,25-1123.00,Write reports or evaluations.
5399,25-1123.00,Order instructional or library materials or equipment.
5400,25-1123.00,Select educational materials or equipment.
5401,25-1123.00,Supervise student research or internship work.
5402,25-1123.00,Direct department activities.
5403,25-1123.00,Serve on institutional or departmental committees.
5404,25-1123.00,Direct activities of subordinates.
5405,25-1123.00,Train staff members.
5406,25-1123.00,Plan community programs or activities for the general public.
5407,25-1123.00,Perform student enrollment or registration activities.
5408,25-1123.00,Promote educational institutions or programs.
5409,25-1123.00,Compile specialized bibliographies or lists of materials.
5410,25-1123.00,Evaluate performance of educational staff.
5411,25-1123.00,Write grant proposals.
5412,25-1123.00,Edit documents.
5413,25-1123.00,Edit written materials.
5414,25-1123.00,"Proofread documents, records, or other files to ensure accuracy."
5415,25-1123.00,"Advise educators on curricula, instructional methods, or policies."
5416,11-9072.00,"Explain regulations, policies, or procedures."
5417,11-9072.00,Provide attraction or event information to patrons.
5418,11-9072.00,"Apply bandages, dressings, or splints."
5419,11-9072.00,Assign duties or work schedules to employees.
5420,11-9072.00,Clean equipment or supplies.
5421,11-9072.00,Clean facilities or sites.
5422,11-9072.00,Conduct eligibility or selection interviews.
5423,11-9072.00,Confer with personnel to coordinate business operations.
5424,11-9072.00,Develop organizational policies or programs.
5425,11-9072.00,Exchange information with colleagues.
5426,11-9072.00,Explain use of products or services.
5427,11-9072.00,Hire personnel.
5428,11-9072.00,Inspect condition or functioning of facilities or equipment.
5429,11-9072.00,Lead classes or community events.
5430,11-9072.00,Maintain supply or equipment inventories.
5431,11-9072.00,Operate vehicles or material-moving equipment.
5432,11-9072.00,Plan community programs or activities for the general public.
5433,11-9072.00,"Plan conferences, programs, or special events."
5434,11-9072.00,"Prepare financial documents, reports, or budgets."
5435,11-9072.00,Reconcile records of sales or other financial transactions.
5436,11-9072.00,Resolve customer complaints or problems.
5437,11-9072.00,Train service staff.
5438,13-1041.01,Investigate legal issues.
5439,13-1041.01,Prepare legal or investigatory documentation.
5440,13-1041.01,Maintain data in information systems or databases.
5441,13-1041.01,Prepare regulatory or compliance documentation.
5442,13-1041.01,Testify at legal or legislative proceedings.
5443,13-1041.01,Coordinate enforcement of laws or regulations.
5444,13-1041.01,"Explain regulations, policies, or procedures."
5445,13-1041.01,Inform individuals or organizations of status or findings.
5446,13-1041.01,"Interview witnesses, suspects, or claimants."
5447,13-1041.01,Inspect facilities or equipment to ensure specifications are met.
5448,13-1041.01,Update professional knowledge.
5449,13-1041.01,Review license or permit applications.
5450,13-1041.01,Monitor organizational compliance with regulations.
5451,13-1041.01,Analyze environmental regulations to ensure organizational compliance.
5452,13-1041.01,Research issues related to the environment or sustainable business practices.
5453,13-1041.01,Update knowledge of legal or regulatory environments.
5454,13-1041.01,Examine product information to ensure compliance with regulations.
5455,13-1041.01,Correspond with customers to answer questions or resolve complaints.
5456,13-1041.01,Advise others on business or operational matters.
5457,13-1041.01,Prepare financial documents.
5458,13-1041.01,Establish organizational guidelines or policies.
5459,13-1041.01,Calculate data to inform organizational operations.
5460,19-3011.01,"Forecast economic, political, or social trends."
5461,19-3011.01,Research impacts of environmental conservation initiatives.
5462,19-3011.01,Appraise environmental impact of regulations or policies.
5463,19-3011.01,Collect environmental data or samples.
5464,19-3011.01,Develop environmental sustainability plans or projects.
5465,19-3011.01,Communicate results of environmental research.
5466,19-3011.01,Prepare scientific or technical reports or presentations.
5467,19-3011.01,Develop mathematical models of environmental conditions.
5468,19-3011.01,Promote environmental sustainability or conservation initiatives.
5469,19-3011.01,Research environmental impact of industrial or development activities.
5470,19-3011.01,Prepare information or documentation related to legal or regulatory matters.
5471,19-3011.01,Teach classes in area of specialization.
5472,19-3011.01,Teach social science courses at the college level.
5473,19-3011.01,Advise others about environmental management or conservation.
5474,19-3011.01,Develop environmental research methods.
5475,19-3011.01,Prepare proposal documents or grant applications.
5476,19-3011.01,Analyze market conditions or trends.
5477,19-3011.01,Monitor market conditions or trends.
5478,19-3011.01,Plan environmental research.
5479,19-3011.01,Identify sustainable business practices.
5480,19-3011.01,Interpret research or operational data.
5481,17-3025.00,Dispose of hazardous materials.
5482,17-3025.00,Maintain operational records or records systems.
5483,17-3025.00,Document design or operational test results.
5484,17-3025.00,Analyze test or validation data.
5485,17-3025.00,Collect samples of raw materials or finished products.
5486,17-3025.00,Prepare technical or operational reports.
5487,17-3025.00,"Test performance of electrical, electronic, mechanical, or integrated systems or equipment."
5488,17-3025.00,Maintain clean work areas.
5489,17-3025.00,Package materials for transport.
5490,17-3025.00,Monitor processes for compliance with standards.
5491,17-3025.00,"Investigate system, equipment, or product failures."
5492,17-3025.00,Inspect facilities or sites to determine if they meet specifications or standards.
5493,17-3025.00,Prepare detailed work plans.
5494,17-3025.00,Evaluate designs or specifications to ensure quality.
5495,17-3025.00,"Analyze operational data to evaluate operations, processes or products."
5496,17-3025.00,Assess product or process usefulness.
5497,17-3025.00,Investigate the environmental impact of projects.
5498,17-3025.00,Advise customers on the use of products or services.
5499,17-3025.00,"Prepare contracts, disclosures, or applications."
5500,17-3025.00,Provide technical guidance to other personnel.
5501,17-3025.00,Create models of engineering designs or methods.
5502,17-3025.00,Schedule operational activities.
5503,17-3025.00,Supervise production or support personnel.
