,Unnamed: 0,title,company,location,description,date_posted,link
263,263,One (1) post-doctoral researcher position in EuRyQa project - European infrastructure for Rydberg...,Foundation for Research and Technology,Greece,"The Institute of Electronic Structure and Laser of the Foundation for and Technology Hellas (IESL - FORTH), in the framework of the project “EuRyQa - European infrastructure for Rydberg Quantum","Melbourne, Victoria",https://scholarshipdb.net/jobs-in-Greece/One-1-Post-Doctoral-Researcher-Position-In-Eu-Ry-Qa-Project-European-Infrastructure-For-Rydberg-Foundation-For-Research-And-Technology=Zld4RKJQ7RGUYQAlkGUTnw.html
264,264,Research Fellow,The University of Southampton,United Kingdom,) at the University of Southampton invites applications for a Research Fellow (post-doctoral) position funded by an EPSRC/STFC research grant to work on investigating new quantum algorithms for problems in quantum,3 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-The-University-Of-Southampton=U_SGueNZ7RGUYQAlkGUTnw.html
265,265,Research Fellow (Physics/Photonics/Electrical Engineering),Nanyang Technological University,Singapore,"based biomedical sensor techniques, quantum dot based up and down conversion and spectral and or polarisation detection. Follow the literature and identify new potential detection techniques and solutions",28 days ago,https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Physics-Photonics-Electrical-Engineering-Nanyang-Technological-University=XCbNraha7RGUYQAlkGUTnw.html
266,266,Postdoctoral Fellow in Theoretical Physics (2),Stockholm University,Sweden,to have openings for two postdoctoral positions in theoretical condensed matter physics in our group (https://tqmatter.org ): Dynamic Quantum Matter: We are interested in quantum materials that have,"Southampton, England",https://scholarshipdb.net/jobs-in-Sweden/Postdoctoral-Fellow-In-Theoretical-Physics-2-Stockholm-University=Gn23dx9c7RGUYQAlkGUTnw.html
271,271,Postdoc in Theory and Gravitational Wave Probes of Dense Matter Physics (1.0 FTE),Utrecht University,Netherlands,gravitational waves from neutron star binaries. You are going to work in the group of Tanja Hinderer and become member of the interdisciplinary Dutch consortium ‘Probing the phase diagram of quantum,1 day ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-In-Theory-And-Gravitational-Wave-Probes-Of-Dense-Matter-Physics-1-0-Fte-Utrecht-University=_qDBzvVk7RGUYQAlkGUTnw.html
272,272,"PhD position ""Very high resolution photoelectron spectroscopy on size-selected deeply cold metal clusters""",University of Freiburg,Germany,", vibrational frequencies. Of additional interest is a search for finite size precursors of low temperature quantum effects like the Kondo effect or superconductivity. Please see the complete announcement","Freiburg im Breisgau, Baden W rttemberg",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Position-Very-High-Resolution-Photoelectron-Spectroscopy-On-Size-Selected-Deeply-Cold-Metal-Clusters-University-Of-Freiburg=xI54J_9j7RGUYQAlkGUTnw.html
273,273,Postdoctoral Positions in String Theory,Institut de Physique Theorique,France,"/ AdS/CFT , Conformal Bootstrap , Conformal Field Theory , HEP-Theory (hep-th) , Holography , Quantum Field Theory , quantum gravity , String Theory Appl Deadline:2022/11/30 11:59PM (posted 2022/10/27",about 3 hours ago,https://scholarshipdb.net/jobs-in-France/Postdoctoral-Positions-In-String-Theory-Institut-De-Physique-Theorique=oi-BP7xW7RGUYQAlkGUTnw.html
274,274,Postdoctoral Research Assistant x 3,University of London,United Kingdom,"Topological Quantum Field Theory (TQFT), algebraic aspects of quantum systems, Conformal Field Theory (CFT), integrability, black hole physics, and the AdS/CFT duality broadly defined. One position will work","Gif sur Yvette, le de France",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Assistant-X-3-University-Of-London=Af-88_Vl7RGUYQAlkGUTnw.html
275,275,PhD position: Electrical Transport of Kagome metals and superconductors,Monash University,Australia,"bands (similar to graphene). However, when spin-orbit coupling is included, a bandgap is opened and within the bandgap 1D chiral edge states exist, yielding a quantum anomalous Hall insulator that has",about 16 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Electrical-Transport-Of-Kagome-Metals-And-Superconductors-Monash-University=Jhnl1tJj7RGUYQAlkGUTnw.html
276,276,Tenure-Track Professorship in Theoretical Physics (W2) (f/m/d),University of Cologne,Germany,of the largest research centers in Europe and shape the change with us! YOUR TASKS The professorship will be established in the field of quantum optimal control for solid-state quantum computing. The successful,"London, England",https://scholarshipdb.net/jobs-in-Germany/Tenure-Track-Professorship-In-Theoretical-Physics-W2-F-M-D-University-Of-Cologne=7CEl8_Nh7RGUYQAlkGUTnw.html
277,277,PhD Stipend in Edge computing offloading for PQC communication channels,Aalborg University Copenhagen,Denmark,industrial partners and IPR. The Department provides teaching for several BSc and MSc programmes using a problem-and project-based learning model. Quantum Computers are about to be accessible to the public,about 19 hours ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Stipend-In-Edge-Computing-Offloading-For-Pqc-Communication-Channels-Aalborg-University-Copenhagen=vufMbxZg7RGUYQAlkGUTnw.html
278,278,Research Associate,Dalhousie University,Canada,Position Details Position Information Position Title Research Associate Department/Unit Mathematics & Statistics Research Project Dependent Type Theory for Verified Quantum Software Location Halifax,about 11 hours ago,https://scholarshipdb.net/jobs-in-Canada/Research-Associate-Dalhousie-University=GrzQLvRZ7RGUYQAlkGUTnw.html
279,279,Research Associate (m/f/x) (w22-404),TU Dresden,Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"Germany,",https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-W22-404-Tu-Dresden=K-2Ulthk7RGUYQAlkGUTnw.html
280,280,Research Associate (m/f/x),Technische Universität Dresden (TU Dresden),Germany,"to the success of the whole institution. At the Faculty of Physics, Institute of Theoretical Physics, the Junior Research Group “Quantum Critical Matter” offers a position as Research Associate (m/f/x) (subject to",5 days ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-Technische-Universit-t-Dresden-Tu-Dresden=BmgHqdRh7RGUYQAlkGUTnw.html
288,288,Postdoctoral Research Fellow,University of Exeter,United Kingdom,"Fellow working in the area of quantum computing and topological data analysis. The post is offered to work in the group of Dr. Oleksandr Kyriienko (Department of Physics, University of Exeter). A","Exeter, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellow-University-Of-Exeter=oAK-Espc7RGUYQAlkGUTnw.html
289,289,Research Assistant/Associate,Imperial College London,United Kingdom,"research in key areas of theoretical physics including string theory, quantum field theory, cosmology, quantum foundations and gravity. Duties and responsibilities In this post, you will help produce",1 day ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Assistant-Associate-Imperial-College-London=PE-vs5ll7RGUYQAlkGUTnw.html
290,290,"Research Associate, Communication Technology",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"South Kensington, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Communication-Technology-Technische-Universitat-Dresden-Tu-Dresden=BLx4H65k7RGUYQAlkGUTnw.html
291,291,EP-29 Researcher on Second generation photonic chip design DTIF project (Cornerstone process...,Tyndall National Institute,Ireland,EP-29 Researcher on Second generation photonic chip design DTIF project (Cornerstone process quantum core2) Contract: Full Time/ Specified Purpose (6 months) Tyndall National Institute at University,about 3 hours ago,https://scholarshipdb.net/jobs-in-Ireland/Ep-29-Researcher-On-Second-Generation-Photonic-Chip-Design-Dtif-Project-Cornerstone-Process-Tyndall-National-Institute=0lLSu3pV7RGUYQAlkGUTnw.html
292,292,"Research Engineer, SCIS",SINGAPORE MANAGEMENT UNIVERSITY,Europe,excellence. Job Description Year 1: Participate in project discussions and designing use cases Design hybrid Quantum-Classical algorithms that address these use cases that demonstrate efficacy over existing,"Layer de la Haye, England",https://scholarshipdb.net/jobs-in-Europe/Research-Engineer-Scis-Singapore-Management-University=M8HaQvpc7RGUYQAlkGUTnw.html
293,293,Research Associate (m/f/x),Technische Universität Dresden (TU Dresden),Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,2 days ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-Technische-Universit-t-Dresden-Tu-Dresden=r-Yqxq1i7RGUYQAlkGUTnw.html
294,294,PhD position: Modelling the electronic structure of low-dimensional organic nanostructures on surfaces,Monash University,Australia,". Potential functionality of these nano-assemblies arise from their atomic-scale electronic structure, which is dictated by quantum mechanics. Understanding and predicting such electronic structure is non","Cork, Munster",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Modelling-The-Electronic-Structure-Of-Low-Dimensional-Organic-Nanostructures-On-Surfaces-Monash-University=wCgI3dJj7RGUYQAlkGUTnw.html
295,295,PhD position: Interplay between Dirac electrons and magnetic textures in topological insulators,Monash University,Australia,Topological insulators (TI) represent a new state of quantum matter. TIs have insulating bulk (like an ordinary insulator) and exotic metallic surface states. These states are described by a,22 days ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Interplay-Between-Dirac-Electrons-And-Magnetic-Textures-In-Topological-Insulators-Monash-University=NBnl1tJj7RGUYQAlkGUTnw.html
296,296,PhD position: Excitonic superfluidity in electron-hole bilayers,Monash University,Australia,Superconductivity and superfluidity are macroscopic quantum phenomena that are observed at low temperatures. Bringing them to room temperatures is the Holy Grail in physics. One prospective system,9 days ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Excitonic-Superfluidity-In-Electron-Hole-Bilayers-Monash-University=Jxnl1tJj7RGUYQAlkGUTnw.html
297,297,Postdoctoral Researcher - Advanced Photonics,Ben-Gurion University,Israel,"experimental study of atom physics, many-body physics, material science, and quantum phenomena. We utilize ultra-cold atoms (BECs), cold atoms, hot atoms, and even atoms within a solid lattice. Half of our work","Dresden, Sachsen",https://scholarshipdb.net/scholarships-in-Israel/Postdoctoral-Researcher-Advanced-Photonics-Ben-Gurion-University=nYB73lpRQ-_5f7_NQqpuTT.html
303,303,Postdoc Position in Probing General Relativity with Black Holes,University of Southern Denmark (SDU),Denmark,"particular gravity theory beyond General Relativity, from black holes. The research team – consisting of several PhD students, postdocs, long-term visitors and master students – explores questions in quantum",9 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-Position-In-Probing-General-Relativity-With-Black-Holes-University-Of-Southern-Denmark-Sdu=F-hq0cdc7RGUYQAlkGUTnw.html
304,304,PhD position: Probing the electronic bandstructure of Kagome metals and superconductors,Monash University,Australia,"will have profound implications in fundamental science and future technologies, such as dissipationless electronics and topological quantum computing. The recent discovery in 2018 of ferromagnetic Kagome",about 11 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Probing-The-Electronic-Bandstructure-Of-Kagome-Metals-And-Superconductors-Monash-University=Yi0Y49Jj7RGUYQAlkGUTnw.html
305,305,Research Fellow (Experimental Condensed Matter Physics),Nanyang Technological University,Singapore,We are seeking highly motivated Research Fellows for a recently awarded 3-year cross-institutional research programme on atomic-precision silicon quantum devices. The program seeks to develop atomic,"Singapore,",https://scholarshipdb.net/jobs-in-Singapore/Research-Fellow-Experimental-Condensed-Matter-Physics-Nanyang-Technological-University=KRGCqXlQ7RGUYQAlkGUTnw.html
306,306,Research Associate (m/f/x) (w22-406),TU Dresden,Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,8 days ago,https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-W22-406-Tu-Dresden=cmSFgdhk7RGUYQAlkGUTnw.html
307,307,Research Associate (m/f/x) (w22-405),TU Dresden,Germany,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,"Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Germany/Research-Associate-M-F-X-W22-405-Tu-Dresden=jxcVkNhk7RGUYQAlkGUTnw.html
308,308,"Research Associate, Institute of Communication Technology",TECHNISCHE UNIVERSITAT DRESDEN (TU DRESDEN),United Kingdom,(e.g. PhD). Tasks: We seek applications for a position in Quantum Technologies for the theoretical and experimental realization of Quantum key Distribution protocols for future 6G industrial networks,about 3 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Institute-Of-Communication-Technology-Technische-Universitat-Dresden-Tu-Dresden=H8BUya1k7RGUYQAlkGUTnw.html
